TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Other Theft,2015,3,6,18.0,34.0,49.282539468902776,-123.11814255154766,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,8,12,0.0,16.0,49.27908137058149,-123.1233003113154,Central Business District
Theft from Vehicle,2015,11,23,13.0,30.0,49.281130570415826,-123.12604445653952,Central Business District
Theft from Vehicle,2015,4,2,9.0,0.0,49.28120697250102,-123.054116143582,Hastings-Sunrise
Theft from Vehicle,2015,9,11,0.0,0.0,49.28966203864685,-123.04655334780784,Hastings-Sunrise
Theft of Bicycle,2015,10,20,7.0,0.0,49.28823208789771,-123.12487759510594,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,2,4.0,23.0,49.27929945106852,-123.12951539559099,West End
Other Theft,2015,7,4,11.0,32.0,49.28321807861119,-123.10429688775527,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,12,15,16.0,39.0,49.281030112347686,-123.126275054026,Central Business District
Theft from Vehicle,2015,7,18,17.0,0.0,49.281130570415826,-123.12604445653952,Central Business District
Other Theft,2015,6,28,16.0,45.0,49.28344649850537,-123.10416124316444,Central Business District
Theft from Vehicle,2015,9,1,0.0,0.0,49.28383682505951,-123.04596114098662,Hastings-Sunrise
Theft from Vehicle,2015,12,18,23.0,0.0,49.258816502462004,-123.08267096656584,Mount Pleasant
Other Theft,2015,9,7,16.0,3.0,49.28344649850537,-123.10416124316444,Central Business District
Theft from Vehicle,2015,8,18,0.0,0.0,49.27905888536135,-123.04656509026356,Hastings-Sunrise
Theft from Vehicle,2015,8,24,23.0,0.0,49.27905888536135,-123.04656509026356,Hastings-Sunrise
Theft from Vehicle,2015,11,16,23.0,30.0,49.27905888536135,-123.04656509026356,Hastings-Sunrise
Theft from Vehicle,2015,9,7,16.0,0.0,49.28114051056825,-123.13030146320817,West End
