TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Mischief,2018,10,30,21.0,0.0,49.25963327340548,-123.0962554612562,Mount Pleasant
Theft from Vehicle,2018,4,2,21.0,0.0,49.28597192245217,-123.11485618896981,Central Business District
Theft from Vehicle,2018,9,1,16.0,0.0,49.28597192245217,-123.11485618896981,Central Business District
Theft from Vehicle,2018,11,28,0.0,0.0,49.28597192245217,-123.11485618896981,Central Business District
Theft from Vehicle,2018,2,3,9.0,31.0,49.29085487650102,-123.14298032399469,West End
Theft from Vehicle,2018,10,22,5.0,45.0,49.279513677800935,-123.12995028885445,West End
Mischief,2018,2,9,20.0,0.0,49.28044770072056,-123.09976147565195,Central Business District
Mischief,2018,9,13,19.0,30.0,49.28044770072056,-123.09976147565195,Central Business District
Theft from Vehicle,2018,7,12,22.0,0.0,49.282272536063125,-123.08116922920624,Strathcona
Mischief,2018,1,14,0.0,9.0,49.28388972192716,-123.13028794415534,West End
Theft from Vehicle,2018,1,29,16.0,0.0,49.23200995881446,-123.06203412336052,Victoria-Fraserview
Theft from Vehicle,2018,3,20,5.0,0.0,49.289376431179925,-123.13225460553267,West End
Break and Enter Residential/Other,2018,1,16,14.0,0.0,49.269068260755596,-123.20408151313293,West Point Grey
Break and Enter Residential/Other,2018,10,12,14.0,46.0,49.26905500635432,-123.20440463032254,West Point Grey
Theft of Bicycle,2018,9,11,22.0,10.0,49.26483475325912,-123.11468190436439,Mount Pleasant
Theft of Bicycle,2018,11,23,15.0,30.0,49.26483475325912,-123.11468190436439,Mount Pleasant
Theft from Vehicle,2018,12,31,9.0,33.0,49.28308314284328,-123.10744742348554,Central Business District
Theft from Vehicle,2018,12,22,0.0,37.0,49.23200995881446,-123.06203412336052,Victoria-Fraserview
Break and Enter Residential/Other,2018,2,2,8.0,38.0,49.27002850000487,-123.20519810882622,West Point Grey
Break and Enter Residential/Other,2018,2,10,19.0,26.0,49.24595293268484,-123.07618975948768,Kensington-Cedar Cottage
Theft of Bicycle,2018,2,24,16.0,50.0,49.264903387874945,-123.11468068892805,Mount Pleasant
Theft of Bicycle,2018,7,31,18.0,15.0,49.264903387874945,-123.11468068892805,Mount Pleasant
Theft from Vehicle,2018,4,14,17.0,0.0,49.28919854224417,-123.13253769050162,West End
Theft from Vehicle,2018,7,28,23.0,30.0,49.2768115452751,-123.1089606846074,Central Business District
Theft from Vehicle,2018,7,29,0.0,35.0,49.2768115452751,-123.1089606846074,Central Business District
